allfunds_id,isin,name_last,n_obs,start_date,end_date,ann_return,ann_vol,sharpe,sortino,max_drawdown,ret_skew,ret_kurt,alpha_daily,beta_mkt,beta_smb,beta_hml,beta_wml,asia_name_flag,japan_name_flag,pacific_name_flag,ann_return_scaled,ann_vol_scaled,sharpe_scaled,sortino_scaled,max_drawdown_scaled,ret_skew_scaled,ret_kurt_scaled,beta_mkt_scaled,beta_smb_scaled,beta_hml_scaled,beta_wml_scaled,max_abs_scaled,l2_scaled,outlier_clustering_flag
3440,LU1223083756,"SCHRODER ISF GLOBAL G ""C"" (CHFHDG)",1261,2016-06-30,2021-07-16,0.0925785481278642,0.3503372563075176,0.2220849503002337,0.3138791832393671,-0.4676144555633029,0.1355423855406586,8.754529062892296,-4.478560400228205e-05,0.8527002919583943,0.9022725260028625,0.4870944781773102,0.9581243892334944,0,0,0,0.1288983934259305,2.5265174994379773,0.016999492823051,0.0162003540635618,-1.6821310331867372,0.7874589230132142,-0.3669547737308727,1.2858826731091817,3.72102517217346,3.252342594584922,7.958196370781525,7.958196370781525,9.969699769233353,1
3755,LU0108940346,"ABERDEEN STANDARD LIQ ""I2"" (EUR)",1390,2016-01-06,2021-07-16,-0.004223933561961,0.0002132537067051,-66.09634261834151,-67.67324406985765,-0.0230746777323029,-6.454070662957628,107.7635344179993,-5.606153594586143e-05,0.0014288450321754,0.0018932247349174,0.0008882125111595,-4.90349335963222e-05,0,0,0,-0.8623674961635123,-1.3547269802493027,-6.372456507160069,-2.6810176162051422,1.8331053960615664,-2.5325746980621533,1.783692866131668,-1.3361797629006475,-0.5539259355609327,0.1093079192825248,-0.3607771441022251,6.372456507160069,8.097228488089248,1
3955,LU0094032728,"CANDRIAM MONEY MARKET USD ""C"" (USD) INC",1386,2016-01-06,2021-07-15,0.005733714700479,0.0084309597006839,-0.4928647556619545,-0.1751738813161961,-0.0163441565540615,-26.143443722795944,738.7376184239878,-1.6633691657819466e-05,0.0033876975641914,0.0074544344854111,0.0061914186808945,0.0013093340953569,0,0,0,-0.7604003059553722,-1.263630894896972,-0.0518824130954525,-0.0032015951735557,1.886327569674512,-12.45263829746514,15.489546386373217,-1.3301461602696327,-0.5275216193469359,0.1435899967849971,-0.3489836256323053,15.489546386373217,20.07287046604813,1
5239,LU0147323579,"NN (L) LIQUID EUR ""A"" ACC",1397,2016-01-06,2021-07-15,-0.0041966936712113,0.0002036070601428,-69.55960443992439,-73.48017806795902,-0.0230444008616507,-1.3691712549860444,3.8385165780143966,-5.620402862698324e-05,0.0013360098530459,0.0021493486923795,0.0007804566323566,-0.0001628982436813,0,0,0,-0.862088557296812,-1.3548339166302403,-6.706124837919595,-2.911393104715459,1.833344813013633,0.0293415889797925,-0.4737391072388963,-1.336465711215741,-0.5527098731813023,0.1086113415387537,-0.3617657186514908,6.706124837919595,7.864339406972825,1
5397,LU0345759590,"STERLING MONEY ""A"" (GBP) D",1365,2016-01-06,2021-07-15,-0.0012671347848749,0.0011133157438304,-10.01050980178228,-7.478671952391294,-0.0083612375433576,-15.106280204265271,314.41486049494404,-4.43259361639314e-05,0.0011028170115618,0.0010073222777945,0.0003259167479139,-0.0003419670183175,0,0,0,-0.8320896177564621,-1.3447494843135233,-0.9688609434247508,-0.2929494959604775,1.9494531865879965,-6.891802829109511,6.2725187573506735,-1.3371839852659393,-0.5581321514136168,0.1056730112065559,-0.3633204146553339,6.891802829109511,9.818848292119043,1
5406,LU0345758782,"US DOLLAR MONEY ""A"" (USD) D",1364,2016-01-06,2021-07-15,-0.0006926717304637,0.0074065505762157,-1.4280703142139848,-0.7934903343626403,-0.014221590151548,-16.31339354633532,287.56645571792325,-4.241238173944275e-05,0.0011421975579918,-0.0013143051015863,-0.002158106007169,-0.0005311968828949,0,0,0,-0.8262070657730137,-1.2749868208824768,-0.1419848926984715,-0.0277317439527763,1.9031119455924992,-7.499980707025198,5.689324752313681,-1.3370626864112949,-0.569155109763786,0.0896152797357999,-0.3649633304281365,7.499980707025198,9.8398172435322,1
5619,LU0252500524,"JPM EUR MONEY MARKET ""D"" (EUR)",1406,2016-01-06,2021-07-15,-0.005167368478661,0.0006164505050709,-24.39525089203879,-174.6789083838045,-0.0284926470588242,-1.3775381354668552,-0.0053838001716788,-5.980150174544746e-05,0.0011631353815112,0.0014745430053623,0.0013615350257132,-6.287557082794096e-06,0,0,0,-0.8720283523280157,-1.3502574056521313,-2.3547603628917257,-6.926197981223317,1.7902623388169168,0.0251261177077515,-0.5572353028279997,-1.336998194314514,-0.5559138132487352,0.1123676681605147,-0.3604060063894923,6.926197981223317,7.86486162742078,1
7884,LU0141249424,"SWISSCANTO (LU) MONEY ""FT"" (CHF)",1375,2016-01-06,2021-07-15,-0.0078580413405576,0.00490871858062,-3.60834968499923,-3.2906751906723244,-0.042531542531543,-4.274978076257296,341.3316844679379,-7.26548167277348e-05,-0.0008774644534432,-0.0095237256695372,-0.0008554904761167,0.0038549883122867,0,0,0,-0.8995810780586254,-1.3026761440139312,-0.3520441419604413,-0.1268012669335789,1.6792485685016958,-1.4346861577130492,6.857198946213199,-1.34328359269535,-0.6081329844232739,0.0980359153215538,-0.3268819585702076,6.857198946213199,7.538985462112544,1
8016,LU0033502740,"UBS (LUX) MONEY MARKET FUND ""P"" (CHF)ACC",1387,2016-01-06,2021-07-15,-0.0085664976236269,0.0016179779934206,-11.414780308326996,-13.976436210185575,-0.0462560563162085,-2.0188398981648814,387.2684510323932,-7.411071373448072e-05,0.0040483256553265,0.0036939645425295,0.001878668950469,0.0007725794658142,0,0,0,-0.9068357324374468,-1.3391551304395282,-1.104155535630735,-0.5507319359888408,1.6497966562319435,-0.2979798670810755,7.855025338271448,-1.328111312151335,-0.5453761225827222,0.1157106317791665,-0.3536437919806248,7.855025338271448,8.417242086849884,1
8878,LU1475744105,"RENTA 4 SICAV VALOR RELATIVO ""I"" (EUR) A",1188,2016-10-13,2021-07-15,0.0115754353116808,0.044910541031637,0.0007449865967977,0.0022914004509216,-0.1021188934667464,28.0474337271792,901.538712638123,-1.1718860137281945e-05,0.0802416449783428,0.042837976708029,0.0114587456744898,-0.0049498525327598,0,0,0,-0.7005805753316212,-0.8592422422758272,-0.0043255296627004,0.0038388931450798,1.208056479119176,14.850260031366714,19.025869044932367,-1.0934227868951856,-0.3595225185156156,0.1776401367278546,-0.4033266145638566,19.025869044932367,24.22233511451837,1
